name,leverage,tc_bps,window,geo_monthly,mean_monthly,sharpe,max_drawdown,calmar,turnover_ann,source
combo_v2_1x,1.0,30.0,full,0.023389897759446665,0.0264635469521386,1.0811961097115688,-0.3498064838176434,0.9140927773811478,8.21395417831691,results/v7/trials/tc_recal.csv name=combo_v2_1x_tc30 window=full
combo_v2_1x,1.0,30.0,dev,0.0197118290257563,0.0224344711711614,0.9680491702755406,-0.3498064838176434,0.754556673267078,7.585391148792473,results/v7/trials/tc_recal.csv name=combo_v2_1x_tc30 window=dev
combo_v2_1.5x,1.5,30.0,full,0.030451510683543237,0.0373311926354098,1.0315956529701062,-0.4884662119213889,0.8870192892241249,12.320931267475368,results/v7/trials/tc_recal.csv name=combo_v2_1.5x_tc30 window=full
combo_v2_1.5x,1.5,30.0,dev,0.025340242513839373,0.0313560633888282,0.9203933235602016,-0.4884662119213889,0.7170521500820292,11.37808672318871,results/v7/trials/tc_recal.csv name=combo_v2_1.5x_tc30 window=dev
combo_v2_2x,2.0,30.0,full,0.03356745498222491,0.0447148798165056,0.9897024547086926,-0.6047894547615499,0.8038519258280629,15.11597077201206,results/v7/trials/tc_recal.csv name=combo_v2_2x_tc30 window=full
combo_v2_2x,2.0,30.0,dev,0.028503914866736313,0.0385729748988879,0.8978628024908196,-0.6047894547615499,0.66321804427647,14.141159725477891,results/v7/trials/tc_recal.csv name=combo_v2_2x_tc30 window=dev
combo_v2_1x,1.0,52.0,full,0.02185226133301721,0.024907796249849207,1.0204641539448411,-0.350897391177843,0.843996437828161,8.21395417831691,results/v7/trials/lev1.csv name=combo_v2_1x_tc52 window=full
combo_v2_1x,1.0,52.0,2019on,0.026353267817670778,0.02899680710427229,1.111355278132954,-0.3508973911778429,1.044041630018834,9.113694479681111,derived: results/v7/trials/lev1.csv name=combo_v2_1x_tc52 window=full equity sliced >=2019-01-01
combo_v2_1x,1.0,52.0,dev,0.018293816165240173,0.020992643709351465,0.9090768410290738,-0.350897391177843,0.6925602856142269,7.585391148792473,results/v7/trials/lev1.csv name=combo_v2_1x_tc52 window=dev
combo_v2_1.25x,1.25,30.0,full,0.027286982516303793,0.03206621202661734,1.0554234939155915,-0.42185503735733587,0.9039660746784073,10.26744272289614,results/v7/trials/lev1.csv name=combo_v2_1.25x_tc30 window=full
combo_v2_1.25x,1.25,30.0,2019on,0.03276354318368657,0.037192426107431696,1.145775640440431,-0.42185503735733587,1.1196952187966607,11.39211809960139,derived: results/v7/trials/lev1.csv name=combo_v2_1.25x_tc30 window=full equity sliced >=2019-01-01
combo_v2_1.25x,1.25,30.0,dev,0.022880190120078803,0.02708189481169136,0.943992670968964,-0.42185503735733587,0.7393283103911135,9.481738935990592,results/v7/trials/lev1.csv name=combo_v2_1.25x_tc30 window=dev
