date,n_members,n_with_bars,missing_rate,missing_names
2017-01-20,506,394,0.22134387351778656,AAP;ADS;AET;AGN;AIV;ALXN;ANDV;APC;ARNC;ATVI;BBBY;BCR;BHI;BNY;CA;CELG;CERN;CHK;CMA;COL;CSRA;CTXS;CXO;DFS;DISCA;DISCK;DNB;DOW;DPS;EMN;ENDP;ESRX;ETFC;EVHC;FBHS;FL;FLIR;FMC;FOX;FOXA;FTR;GGP;GPS;HAR;HBI;HES;IPG;JNPR;JWN;K;KMX;KSS;KSU;LEG;LKQ;LLL;LLTC;LNC;LUMN;LVLT;MAC;MHK;MJN;MNK;MON;MRO;NAVI;NBL;NFX;NLSN;NWL;PBCT;PBI;PDCO;PRGO;PXD;QRVO;RAI;RHI;RHT;RIG;RTN;SCG;SE;SEE;SIG;SLG;SNI;SPLS;SRCL;STI;SWN;TDC;TGNA;TIF;TRIP;TSS;TWX;UA;UAA;URBN;VAR;VIAB;WBA;WFM;WU;WYN;XEC;XL;XLNX;XRX;YHOO
2017-02-20,506,0,1.0,A;AAL;AAP;AAPL;ABBV;ABT;ACN;ADBE;ADI;ADM;ADP;ADS;ADSK;AEE;AEP;AES;AET;AFL;AGN;AIG;AIV;AIZ;AJG;AKAM;ALB;ALK;ALL;ALLE;ALXN;AMAT;AME;AMG;AMGN;AMP;AMT;AMZN;AN;ANDV;AON;APA;APC;APD;APH;APTV;ARNC;ATVI;AVB;AVGO;AVY;AWK;AXP;AYI;AZO;BA;BAC;BALL;BAX;BBBY;BBWI;BBY;BCR;BDX;BEN;BF-B;BHI;BIIB;BKNG;BLK;BMY;BNY;BRK-B;BSX;BWA;BXP;C;CA;CAG;CAH;CAT;CB;CBRE;CCI;CCL;CELG;CERN;CF;CFG;CHD;CHK;CHRW;CHTR;CI;CINF;CL;CLX;CMA;CMCSA;CME;CMG;CMI;CMS;CNC;CNP;COF;COL;COO;COP;COR;COST;COTY;CPB;CPRI;CRM;CSCO;CSRA;CSX;CTAS;CTRA;CTSH;CTXS;CVS;CVX;CXO;D;DAL;DD;DE;DFS;DG;DGX;DHI;DHR;DIS;DISCA;DISCK;DLR;DLTR;DNB;DOC;DOV;DOW;DPS;DRI;DTE;DUK;DVA;DVN;EA;EBAY;ECL;ED;EFX;EIX;EL;ELV;EMN;EMR;ENDP;EOG;EQIX;EQR;EQT;ES;ESRX;ESS;ETFC;ETN;ETR;EVHC;EW;EXC;EXPD;EXPE;EXR;F;FAST;FBHS;FCX;FDX;FE;FFIV;FIS;FISV;FITB;FL;FLIR;FLR;FLS;FMC;FOX;FOXA;FRT;FSLR;FTI;FTR;FTV;GD;GE;GEN;GGP;GILD;GIS;GL;GLW;GM;GOOG;GOOGL;GPC;GPN;GPS;GRMN;GS;GT;GWW;HAL;HAR;HAS;HBAN;HBI;HCA;HD;HES;HIG;HOG;HOLX;HON;HP;HPE;HPQ;HRB;HRL;HSIC;HST;HSY;HUM;IBM;ICE;IDXX;IFF;ILMN;INTC;INTU;IP;IPG;IQV;IRM;ISRG;ITW;IVZ;J;JBHT;JCI;JEF;JNJ;JNPR;JPM;JWN;K;KEY;KHC;KIM;KLAC;KMB;KMI;KMX;KO;KR;KSS;KSU;L;LEG;LEN;LH;LHX;LIN;LKQ;LLL;LLTC;LLY;LMT;LNC;LNT;LOW;LRCX;LUMN;LUV;LVLT;LYB;M;MA;MAA;MAC;MAR;MAS;MAT;MCD;MCHP;MCK;MCO;MDLZ;MDT;MET;META;MHK;MJN;MKC;MLM;MMM;MNK;MNST;MO;MON;MOS;MPC;MRK;MRO;MRSH;MS;MSFT;MSI;MTB;MTD;MU;MUR;NAVI;NBL;NDAQ;NEE;NEM;NFLX;NFX;NI;NKE;NLSN;NOC;NOV;NRG;NSC;NTAP;NTRS;NUE;NVDA;NWL;NWS;NWSA;O;OKE;OMC;ORCL;ORLY;OXY;PAYX;PBCT;PBI;PCAR;PCG;PDCO;PEG;PEP;PFE;PFG;PG;PGR;PH;PHM;PLD;PM;PNC;PNR;PNW;PPG;PPL;PRGO;PRU;PSA;PSKY;PSX;PVH;PWR;PXD;PYPL;QCOM;QRVO;R;RAI;RCL;REGN;RF;RHI;RHT;RIG;RL;ROK;ROP;ROST;RRC;RSG;RTN;RTX;RVTY;SBUX;SCG;SCHW;SE;SEE;SHW;SIG;SJM;SLB;SLG;SNA;SNI;SO;SPG;SPGI;SPLS;SRCL;SRE;STI;STT;STX;STZ;SW;SWK;SWKS;SWN;SYF;SYK;SYY;T;TAP;TDC;TDG;TEL;TFC;TGNA;TGT;TIF;TJX;TMO;TPR;TRIP;TROW;TRV;TSCO;TSN;TSS;TT;TWX;TXN;TXT;UA;UAA;UAL;UDR;UHS;ULTA;UNH;UNM;UNP;UPS;URBN;URI;USB;V;VAR;VFC;VIAB;VLO;VMC;VNO;VRSK;VRSN;VRTX;VTR;VTRS;VZ;WAT;WBA;WDC;WEC;WELL;WFC;WFM;WHR;WM;WMB;WMT;WTW;WU;WY;WYN;WYNN;XEC;XEL;XL;XLNX;XOM;XRAY;XRX;XYL;YHOO;YUM;ZBH;ZION;ZTS
2017-03-21,506,400,0.20948616600790515,AAP;ADS;AET;AGN;AIV;ALXN;ANDV;APC;ARNC;ATVI;BBBY;BCR;BHI;BNY;CA;CELG;CERN;CHK;CMA;COL;CSRA;CTXS;CXO;DFS;DISCA;DISCK;DISH;DNB;DOW;DPS;EMN;ESRX;ETFC;EVHC;FBHS;FL;FLIR;FMC;FOX;FOXA;GGP;GPS;HBI;HES;IPG;JNPR;JWN;K;KMX;KSS;KSU;LEG;LKQ;LLL;LNC;LUMN;LVLT;MAC;MHK;MJN;MNK;MON;MRO;NAVI;NBL;NFX;NLSN;NWL;PBCT;PDCO;PRGO;PXD;QRVO;RAI;RHI;RHT;RIG;RTN;SCG;SEE;SIG;SLG;SNI;SPLS;SRCL;STI;SWN;TDC;TGNA;TIF;TRIP;TSS;TWX;UA;UAA;VAR;VIAB;WBA;WFM;WU;WYN;XEC;XL;XLNX;XRX;YHOO
2017-04-19,506,401,0.2075098814229249,AAP;ADS;AET;AGN;AIV;ALXN;ANDV;APC;ARNC;ATVI;BBBY;BCR;BHI;BNY;CA;CELG;CERN;CHK;CMA;COL;CSRA;CTXS;CXO;DFS;DISCA;DISCK;DISH;DOW;DPS;DXC;EMN;ESRX;ETFC;EVHC;FBHS;FL;FLIR;FMC;FOX;FOXA;GGP;GPS;HBI;HES;IPG;JNPR;JWN;K;KMX;KSS;KSU;LEG;LKQ;LLL;LNC;LUMN;LVLT;MAC;MHK;MJN;MNK;MON;MRO;NAVI;NBL;NFX;NLSN;NWL;PBCT;PDCO;PRGO;PXD;QRVO;RAI;RHI;RHT;RIG;RTN;SCG;SEE;SIG;SLG;SNI;SPLS;SRCL;STI;TDC;TGNA;TIF;TRIP;TSS;TWX;UA;UAA;VAR;VIAB;WBA;WFM;WU;WYN;XEC;XL;XLNX;XRX;YHOO
2017-05-18,506,401,0.2075098814229249,AAP;ADS;AET;AGN;AIV;ALXN;ANDV;APC;ARNC;ATVI;BBBY;BCR;BHI;BNY;CA;CELG;CERN;CHK;CMA;COL;CSRA;CTXS;CXO;DFS;DISCA;DISCK;DISH;DOW;DPS;DXC;EMN;ESRX;ETFC;EVHC;FBHS;FL;FLIR;FMC;FOX;FOXA;GGP;GPS;HBI;HES;IPG;JNPR;JWN;K;KMX;KSS;KSU;LEG;LKQ;LLL;LNC;LUMN;LVLT;MAC;MHK;MJN;MNK;MON;MRO;NAVI;NBL;NFX;NLSN;NWL;PBCT;PDCO;PRGO;PXD;QRVO;RAI;RHI;RHT;RIG;RTN;SCG;SEE;SIG;SLG;SNI;SPLS;SRCL;STI;TDC;TGNA;TIF;TRIP;TSS;TWX;UA;UAA;VAR;VIAB;WBA;WFM;WU;WYN;XEC;XL;XLNX;XRX;YHOO
2017-06-16,506,401,0.2075098814229249,AAP;ADS;AET;AGN;AIV;ALXN;ANDV;APC;ARNC;ATVI;BBBY;BCR;BHI;BNY;CA;CELG;CERN;CHK;CMA;COL;CSRA;CTXS;CXO;DFS;DISCA;DISCK;DISH;DOW;DPS;DXC;EMN;ESRX;ETFC;EVHC;FBHS;FL;FLIR;FMC;FOX;FOXA;GGP;GPS;HBI;HES;INFO;IPG;JNPR;JWN;K;KMX;KSS;KSU;LEG;LKQ;LLL;LNC;LUMN;LVLT;MAC;MHK;MJN;MNK;MON;MRO;NAVI;NBL;NFX;NLSN;NWL;PBCT;PDCO;PRGO;PXD;QRVO;RAI;RHI;RHT;RIG;RTN;SCG;SEE;SIG;SLG;SNI;SPLS;SRCL;STI;TDC;TIF;TRIP;TSS;TWX;UA;UAA;VAR;VIAB;WBA;WFM;WU;WYN;XEC;XL;XLNX;XRX;YHOO
2017-07-17,506,403,0.20355731225296442,AAP;ADS;AET;AGN;AIV;ALXN;ANDV;ANSS;APC;ARNC;ATVI;BBBY;BCR;BNY;CA;CELG;CERN;CHK;CMA;COL;CSRA;CTXS;CXO;DFS;DISCA;DISCK;DISH;DOW;DPS;DXC;EMN;ESRX;ETFC;EVHC;FBHS;FL;FLIR;FMC;FOX;FOXA;GGP;GPS;HBI;HES;INFO;IPG;JNPR;JWN;K;KMX;KSS;KSU;LEG;LKQ;LLL;LNC;LUMN;LVLT;MAC;MHK;MNK;MON;MRO;NAVI;NBL;NFX;NLSN;NWL;PBCT;PDCO;PRGO;PXD;QRVO;RAI;RE;RHI;RHT;RIG;RTN;SCG;SEE;SIG;SLG;SNI;SPLS;SRCL;STI;TIF;TRIP;TSS;TWX;UA;UAA;VAR;VIAB;WBA;WFM;WU;WYN;XEC;XL;XLNX;XRX
2017-08-15,506,406,0.1976284584980237,AAP;ADS;AET;AGN;AIV;ALXN;ANDV;ANSS;APC;ARNC;ATVI;BCR;BNY;CA;CELG;CERN;CHK;CMA;COL;CSRA;CTXS;CXO;DFS;DISCA;DISCK;DISH;DOW;DPS;DRE;DXC;EMN;ESRX;ETFC;EVHC;FBHS;FL;FLIR;FMC;FOX;FOXA;GGP;GPS;HBI;HES;INFO;IPG;JNPR;JWN;K;KMX;KSS;KSU;LEG;LKQ;LLL;LNC;LUMN;LVLT;MAC;MHK;MON;MRO;NAVI;NBL;NFX;NLSN;NWL;PBCT;PDCO;PRGO;PXD;QRVO;RE;RHI;RHT;RTN;SCG;SEE;SIG;SLG;SNI;SPLS;SRCL;STI;TIF;TRIP;TSS;TWX;UA;UAA;VAR;VIAB;WBA;WFM;WU;WYN;XEC;XL;XLNX;XRX
2017-09-13,505,406,0.19603960396039605,AAP;ADS;AET;AGN;AIV;ALXN;ANDV;ANSS;APC;ARNC;ATVI;BCR;BNY;CA;CELG;CERN;CHK;CMA;COL;CSRA;CTXS;CXO;DFS;DISCA;DISCK;DISH;DPS;DRE;DWDP;DXC;EMN;ESRX;ETFC;EVHC;FBHS;FL;FLIR;FMC;FOX;FOXA;GGP;GPS;HBI;HES;INFO;IPG;JNPR;JWN;K;KMX;KSS;KSU;LEG;LKQ;LLL;LNC;LUMN;LVLT;MAC;MHK;MON;MRO;NAVI;NBL;NFX;NLSN;NWL;PBCT;PDCO;PRGO;PXD;QRVO;RE;RHI;RHT;RTN;SCG;SEE;SIG;SLG;SNI;SPLS;SRCL;STI;TIF;TRIP;TSS;TWX;UA;UAA;VAR;VIAB;WBA;WU;WYN;XEC;XL;XLNX;XRX
2017-10-12,505,407,0.19405940594059407,AAP;ADS;AET;AGN;AIV;ALXN;ANDV;ANSS;APC;ARNC;ATVI;BCR;BNY;CA;CELG;CERN;CHK;CMA;COL;CSRA;CTXS;CXO;DFS;DISCA;DISCK;DISH;DPS;DRE;DWDP;DXC;EMN;ESRX;ETFC;EVHC;FBHS;FL;FLIR;FMC;FOX;FOXA;GGP;GPS;HBI;HES;INFO;IPG;JNPR;JWN;K;KMX;KSS;KSU;LEG;LKQ;LLL;LNC;LUMN;LVLT;MAC;MHK;MON;MRO;NAVI;NBL;NFX;NLSN;NWL;PBCT;PDCO;PRGO;PXD;QRVO;RE;RHI;RHT;RTN;SCG;SEE;SIG;SLG;SNI;SRCL;STI;TIF;TRIP;TSS;TWX;UA;UAA;VAR;VIAB;WBA;WU;WYN;XEC;XL;XLNX;XRX
