name,window,method,sharpe_raw,sharpe_excess,sharpe_delta,rf_mean_ann,approx_max_abs_err_on_exact_pairs,code_hash,generated
combo_v2_2x,dev,exact,0.9630570299844884,0.9425869706627689,-0.020470059321719525,0.011065379188462832,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
xs_momentum_top30,dev,exact,0.9840769199305032,0.9501501875896416,-0.03392673234086152,0.011065379188462832,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
dual_momentum_vol,dev,exact,1.065740439020537,1.0261860069680842,-0.03955443205245279,0.011065379188462832,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
adaptive_voltarget_momentum,dev,exact,0.8989664390935492,0.8606604666728039,-0.03830597242074529,0.011065379188462832,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
combo_v2_2x,full,approx_from_scalars,1.0564821513903304,1.0169309121510457,-0.03955123923928472,0.02235708597739587,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
combo_v2_2x_freeze_dd_v1,full,approx_from_scalars,1.0631009244760252,1.0209024157616742,-0.042198508714351046,0.02235708597739587,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
combo_v2_2x_freeze_dd_v2,full,approx_from_scalars,1.0320871952202355,0.9880366312166982,-0.04405056400353735,0.02235708597739587,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
combo_4way_2.5x,full,approx_from_scalars,0.9969128955371344,0.9507525759791201,-0.04616031955801425,0.02235708597739587,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
combo_4way_2x,full,approx_from_scalars,1.0237374161066422,0.9660377042773363,-0.05769971182930589,0.02235708597739587,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
xs_momentum_top30,full,approx_from_scalars,1.0997878235184515,1.033499486040064,-0.06628833747838758,0.02235708597739587,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
dual_momentum_vol,full,approx_from_scalars,1.1423031463309976,1.065114951325316,-0.07718819500568164,0.02235708597739587,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
adaptive_voltarget_momentum,full,approx_from_scalars,1.0509860159173046,0.979332303991574,-0.07165371192573056,0.02235708597739587,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
FINAL_3pct_lev_1.5x,full,approx_from_scalars,1.064414889090109,0.9883970820891406,-0.0760178070009685,0.02235708597739587,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
xs_momentum_12_1,full,approx_from_scalars,1.031861078805382,0.958466356877078,-0.07339472192830387,0.02235708597739587,9.033866055818685e-05,d96673b28e,2026-07-18T13:46:08
