date,old_vol_est,new_vol_est,old_binds,new_binds
2016-10-28,0.061270155255151684,0.17529583597344206,False,True
2016-11-29,0.08815112405742268,0.2243420812173851,False,True
2016-12-29,0.0706980827714532,0.19775004780903174,False,True
2017-01-31,0.07656783085825505,0.20574046675015173,False,True
2017-03-02,0.06415417652579178,0.17148804827675393,False,True
2017-03-31,0.06373535602029777,0.164324576348881,False,True
2017-05-02,0.06467270941136023,0.17234368284840598,False,True
2017-06-01,0.06872392859608933,0.1790861233410309,False,True
2017-06-30,0.07001067741565101,0.17514721388952026,False,True
2017-08-01,0.07075318674732721,0.2158059952842902,False,True
2017-08-30,0.05982280327125343,0.16663734453082424,False,True
2017-09-29,0.06966328379998567,0.15772748713707535,False,True
2017-10-30,0.06447503928397758,0.1633606489311154,False,True
2017-11-29,0.06777762701096919,0.12025450202392898,False,False
2017-12-29,0.06563286654543567,0.12810387687000524,False,False
2018-01-31,0.07121780584288072,0.16167010821175545,False,True
2018-03-02,0.07589334802246726,0.21533861305088067,False,True
2018-04-03,0.07486050611313723,0.23650493148887625,False,True
2018-05-02,0.07703143789177762,0.21255642566853195,False,True
2018-06-01,0.07962403762624509,0.20472338443023838,False,True
2018-07-02,0.08202718976747034,0.19383757747997432,False,True
2018-08-01,0.08009154655569134,0.1864507362371945,False,True
2018-08-30,0.08374763132324783,0.2032408906294028,False,True
2018-10-01,0.07999852168345432,0.18595646411776975,False,True
2018-10-30,0.06544198203024537,0.18782647227148616,False,True
2018-11-29,0.06736118496995702,0.190581386271528,False,True
2019-01-02,0.07489773346762636,0.20454729044733094,False,True
2019-02-01,0.07974492607994549,0.25557733934811655,False,True
2019-03-05,0.07412101937112096,0.2066252823880721,False,True
2019-04-03,0.053352030508554395,0.11308957414181568,False,False
2019-05-03,0.07263168930397018,0.17857999709714392,False,True
2019-06-04,0.06791312899933019,0.1844529983487375,False,True
2019-07-03,0.08138313423852037,0.21885288496203228,False,True
2019-08-02,0.07468299938956834,0.1837077412007595,False,True
2019-09-03,0.0688492982486573,0.15492330584110625,False,True
2019-10-02,0.06969221724959183,0.16803890331805774,False,True
2019-10-31,0.0767325181711255,0.14907390162605258,False,False
2019-12-02,0.08261536102277335,0.16063109579885612,False,True
2020-01-02,0.07727298469433745,0.14279154395551308,False,False
2020-02-03,0.06987292327861246,0.1441361163669182,False,False
2020-03-04,0.09191154527085717,0.2448579697483445,False,True
2020-04-02,0.14491273009344072,0.40495304168584795,False,True
2020-05-04,0.15260333752276,0.46477442581700146,True,True
2020-06-03,0.17508403972179934,0.486767925580265,True,True
2020-07-02,0.12152692403555712,0.28805076479722125,False,True
2020-08-03,0.1244347533858797,0.29219415093523426,False,True
2020-09-01,0.12399606807061182,0.3023745068462754,False,True
2020-10-01,0.12972126758779162,0.3690773521216033,False,True
2020-10-30,0.11217062113562173,0.3110088592933419,False,True
2020-12-01,0.12534209233034724,0.32104021021548335,False,True
2020-12-31,0.11901766216500455,0.2930850520080319,False,True
2021-02-02,0.13161455894797686,0.3446612464326756,False,True
2021-03-04,0.11637211486890789,0.3461646688503502,False,True
2021-04-05,0.13660282813245012,0.43772668153100114,False,True
2021-05-04,0.12983505756725383,0.41653688859932064,False,True
2021-06-03,0.10903683825457161,0.3797301063835913,False,True
2021-07-02,0.09812729914867746,0.3075476059367565,False,True
2021-08-03,0.0846542492355561,0.27014448054714746,False,True
2021-09-01,0.06256675587786896,0.1535558294354235,False,True
2021-10-01,0.092190300106121,0.27292059666867713,False,True
2021-11-01,0.08121882230740354,0.21235879402151514,False,True
2021-12-01,0.08577198605194822,0.27182486592675864,False,True
2021-12-31,0.08606389587719951,0.25885762475456936,False,True
2022-02-01,0.09110727375580374,0.3495263854965853,False,True
2022-03-03,0.0850129273727311,0.30953783653418515,False,True
2022-04-01,0.09354349172798242,0.28249295436085925,False,True
2022-05-03,0.08311917877467438,0.2569658332572614,False,True
2022-06-02,0.09822853111144189,0.41923906539785827,False,True
2022-07-05,0.0960383702171388,0.2880325966526978,False,True
2022-08-03,0.10561191298900956,0.3661448765833712,False,True
2022-09-01,0.09222980023377614,0.2622597574635821,False,True
2022-10-03,0.08291038555605719,0.1636268557094245,False,True
2022-11-01,0.07915300555869619,0.22641033262752958,False,True
2022-12-01,0.09295862901494069,0.2601814493310056,False,True
2023-01-03,0.08610769833469184,0.25206291897582817,False,True
2023-02-02,0.08076406478015463,0.25176545325695227,False,True
2023-03-06,0.08017579910726125,0.23150432198173523,False,True
2023-04-04,0.08350106780375806,0.25636344912269105,False,True
2023-05-04,0.07362433652561688,0.19234996210974756,False,True
2023-06-05,0.08573384148279795,0.22268494335993433,False,True
2023-07-06,0.10757402849957826,0.2768492066107682,False,True
2023-08-04,0.09367637791519481,0.22008658703769482,False,True
2023-09-05,0.10189649780203926,0.24316679497434224,False,True
2023-10-04,0.09226445728995113,0.2161555667991374,False,True
2023-11-02,0.0924920295588687,0.2597288750809301,False,True
2023-12-04,0.07718150945012064,0.21619744056807033,False,True
2024-01-04,0.08068741657312462,0.23658791394496173,False,True
2024-02-05,0.06502847295777058,0.17192826864593022,False,True
2024-03-06,0.08665340740687145,0.22860111838620578,False,True
2024-04-05,0.09333245102668485,0.23850566021115455,False,True
2024-05-06,0.09928817458224926,0.295814420137576,False,True
2024-06-05,0.10200291619838532,0.28878634139311765,False,True
2024-07-08,0.09273572023556559,0.2836878243331329,False,True
2024-08-06,0.08591951927241814,0.23519090647519672,False,True
2024-09-05,0.07419748438746994,0.17062217823376746,False,True
2024-10-04,0.0901218789547599,0.23944715777017733,False,True
2024-11-04,0.07519258725467436,0.1586349055982697,False,True
2024-12-04,0.0994879626137387,0.2411052093341536,False,True
2025-01-06,0.10215072716021091,0.2634564833779478,False,True
2025-02-06,0.11564430956989921,0.3128622620135048,False,True
2025-03-10,0.10223679640165718,0.2793796954191114,False,True
2025-04-08,0.10047668539653402,0.20058412666739683,False,True
2025-05-08,0.11037336933404172,0.4256195950178655,False,True
2025-06-09,0.09856536947193739,0.3297176808695952,False,True
2025-07-10,0.07816924503861762,0.16349171708544524,False,True
2025-08-08,0.07816463174538309,0.16835377038808783,False,True
2025-09-09,0.10061005604489313,0.24475487211064242,False,True
2025-10-08,0.11588375178060303,0.2890195175863954,False,True
2025-11-06,0.13081254453487104,0.3651768069905357,False,True
2025-12-08,0.12695367393283563,0.3899817058271241,False,True
2026-01-08,0.1226750048160978,0.38046390717636747,False,True
2026-02-09,0.12711948890652744,0.4130977653184173,False,True
2026-03-11,0.11432567786633008,0.39297064282565136,False,True
