ts,family,name,window,exec_model,tc_bps,leverage_cap,params_json,mean_monthly,median_monthly,sharpe,sortino,max_drawdown,calmar,cagr,ann_vol,worst_month,hit_rate,turnover_ann,avg_gross,runtime_s,notes,margin_bps,ep_2018Q4_ret,ep_2018Q4_dd,ep_covid_ret,ep_covid_dd,ep_2022_ret,ep_2022_dd,ep_2026Q1_ret,ep_2026Q1_dd,geo_monthly,dsr
2026-07-14T14:16:56,catalog_v2,combo_v2_2x_freeze_dd_v1,dev,next_open,5.0,2.0,"{""lev"": 2.0, ""freeze"": ""spy_dd"", ""peak_lookback"": 21, ""freeze_dd_pct"": 0.12, ""unfreeze_within_pct"": 0.08, ""min_freeze_days"": 10, ""source"": ""run_v6"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0, ""margin_bps_annual"": 600.0}",0.0427991855649788,0.0318661252193077,1.0544273694423447,1.481297036800083,-0.5274560129341006,0.9184494516639924,0.4844416858562004,0.4895607632666247,-0.3388696337124123,0.6125,15.168345519708316,1.5618785461263949,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.5051486182856157,-0.5051486182856157,-0.3547967146477337,-0.3547967146477337,0.1924865490286378,-0.3008208880436684,,,0.03346774934024843,0.9127391873225107
2026-07-14T14:16:55,catalog_v2,combo_v2_2x,dev,next_open,5.0,2.0,"{""lev"": 2.0, ""source"": ""run_v6"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0, ""margin_bps_annual"": 600.0}",0.041681483826966,0.0318661252193077,0.9630570299844884,1.3394257035342798,-0.6032436999238027,0.7483592574939588,0.4514430073628854,0.5416034588609866,-0.3388696337124123,0.6125,14.141159725477891,1.618903825373896,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.4394117298292848,-0.5109424503520585,-0.4866589220866421,-0.6032436999238027,0.0280506492140268,-0.4377972592832266,,,0.031533489627785016,0.9093831951753912
2026-07-14T14:16:56,catalog_v2,combo_v2_2x_freeze_dd_v2,dev,next_open,5.0,2.0,"{""lev"": 2.0, ""freeze"": ""spy_dd"", ""peak_lookback"": 30, ""freeze_dd_pct"": 0.1, ""unfreeze_within_pct"": 0.05, ""min_freeze_days"": 10, ""source"": ""run_v6"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0, ""margin_bps_annual"": 600.0}",0.0339376700555714,0.021487090562271,0.9087070648253572,1.273457129526133,-0.4942816886281018,0.7441131176400637,0.3678014883174521,0.4643976101475355,-0.3388696337124122,0.5875,16.242404314119945,1.4687960456364866,0.14,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.4447430947490568,-0.4447430947490568,-0.314636283341142,-0.314636283341142,-0.1356520972157254,-0.3231733257790926,,,0.026443989535091195,0.8961850358948109
2026-07-14T14:16:31,catalog_v2,xs_momentum_top30,dev,next_open,5.0,1.0,"{""n_long"": 30, ""source"": ""run_all"", ""tc_bps"": 5.0, ""leverage_cap"": 1.0, ""margin_bps_annual"": 600.0}",0.0261668649245336,0.011118379540165,0.9840769199305032,1.39056724276175,-0.4262382168093908,0.7200920558711245,0.3069307538331163,0.3266984234264172,-0.1923474994896034,0.575,5.8962962962962955,0.8389182833627277,0.17,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.248293174473543,-0.3191990038782459,-0.2994131454604815,-0.4262382168093908,0.1427871389319506,-0.2900092333068323,,,0.022557444387208747,0.929675549495546
2026-07-14T14:16:43,catalog_v2,combo_4way_2.5x,dev,next_open,5.0,3.0,"{""lev"": 2.5, ""source"": ""run_v4"", ""tc_bps"": 5.0, ""leverage_cap"": 3.0, ""margin_bps_annual"": 600.0}",0.0299493618827079,0.0299393083492033,0.8091879852490435,1.114731761005093,-0.5185688868275165,0.5804120342191571,0.3009836224863227,0.4543925296887439,-0.3689706896493692,0.6375,29.202266569556233,1.9143862418871584,0.16,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.4546726542610977,-0.4802825552640131,-0.3834134819690817,-0.4330647489707271,-0.3128105845995937,-0.3848591742302518,,,0.022168874724317167,0.8747788164881967
2026-07-14T14:16:33,catalog_v2,dual_momentum_vol,dev,next_open,5.0,1.0,"{""n_long"": 30, ""source"": ""run_all"", ""tc_bps"": 5.0, ""leverage_cap"": 1.0, ""margin_bps_annual"": 600.0}",0.024996870616896,0.0258314011347592,1.065740439020537,1.4861522332932036,-0.3832608999073688,0.7717092176600866,0.2957659692272163,0.2803910653306818,-0.2072074946234237,0.675,10.591033040417337,0.9110129984958822,0.2,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.2450963539574284,-0.291692001187372,-0.3005418794341157,-0.3832608999073688,0.0196630639054304,-0.2873123391290854,,,0.021826623971614723,0.9460025852686911
2026-07-14T14:16:42,catalog_v2,combo_4way_2x,dev,next_open,5.0,2.5,"{""lev"": 2.0, ""source"": ""run_v3"", ""tc_bps"": 5.0, ""leverage_cap"": 2.5, ""margin_bps_annual"": 600.0}",0.024972195694517,0.0255137928762584,0.8359718163681304,1.1530584498034293,-0.4217932807669046,0.6344518258589594,0.2676075171176033,0.363518691455693,-0.3037515155680005,0.65,23.361813255644982,1.5315089935097266,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.3779314821411327,-0.4014884631212564,-0.314580628742562,-0.3594586820251747,-0.2380557340976602,-0.3085163160608224,,,0.019957479760367658,0.8913614609624911
2026-07-14T14:16:31,catalog_v2,xs_momentum_12_1,dev,next_open,5.0,1.0,"{""n_long"": 50, ""source"": ""run_all"", ""tc_bps"": 5.0, ""leverage_cap"": 1.0, ""margin_bps_annual"": 600.0}",0.0227730331993707,0.0137730094122255,0.9339221666247188,1.3086849029276455,-0.4322196066533856,0.612202012100041,0.2646057128622909,0.3000095936419967,-0.1866642715229878,0.5875,5.428148148148149,0.8389182833627279,0.16,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.2331672071382691,-0.3008791285886291,-0.3029891696943689,-0.4322196066533856,0.0387634346868628,-0.2586425434407338,,,0.019755982004542982,0.8960564940972324
2026-07-14T14:16:34,catalog_v2,xs_momentum_ls,dev,next_open,7.0,1.5,"{""n_each_side"": 50, ""short_weight"": 0.5, ""source"": ""run_extras"", ""tc_bps"": 7.0, ""leverage_cap"": 1.5, ""margin_bps_annual"": 600.0}",0.0226790407252566,0.013662205987112,0.9303097978185624,1.303439696809668,-0.4322991539424943,0.6089185268895612,0.2632349639942672,0.3000068817091759,-0.1867782216577469,0.5875,5.428148148148149,0.8389182833627279,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search; shorts_clipped",600.0,-0.2333693700724641,-0.3010634403812872,-0.3031953866595369,-0.4322991539424943,0.0376524166986806,-0.2586909034363768,,,0.019663823880284204,0.8938362240918691
2026-07-14T14:16:34,catalog_v2,xs_momentum_ls_neutral,dev,next_open,7.0,1.5,"{""n_each_side"": 50, ""short_weight"": 1.0, ""source"": ""run_extras"", ""tc_bps"": 7.0, ""leverage_cap"": 1.5, ""margin_bps_annual"": 600.0}",0.0226790407252566,0.013662205987112,0.9303097978185624,1.303439696809668,-0.4322991539424943,0.6089185268895612,0.2632349639942672,0.3000068817091759,-0.1867782216577469,0.5875,5.428148148148149,0.8389182833627279,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search; shorts_clipped",600.0,-0.2333693700724641,-0.3010634403812872,-0.3031953866595369,-0.4322991539424943,0.0376524166986806,-0.2586909034363768,,,0.019663823880284204,0.8938362240918691
