ts,family,name,window,exec_model,tc_bps,leverage_cap,params_json,mean_monthly,median_monthly,sharpe,sortino,max_drawdown,calmar,cagr,ann_vol,worst_month,hit_rate,turnover_ann,avg_gross,runtime_s,notes,ep_2018Q4_ret,ep_2018Q4_dd,ep_covid_ret,ep_covid_dd,ep_2022_ret,ep_2022_dd,ep_2026Q1_ret,ep_2026Q1_dd,pub_mean_monthly,pub_sharpe,pub_calmar,pub_max_drawdown,rank_calmar_legacy_period,rank_calmar_next_open,rank_change_calmar,rank_mean_monthly_legacy_period,rank_mean_monthly_next_open,rank_change_mean_monthly
2026-06-11T11:59:11,rescore,FINAL_3pct_lev_1.3x,dev,next_open,5.0,2.0,"{""lev"": 1.3, ""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0}",0.0195209422666551,0.017194696317951,0.9751613796643112,1.1992553502746393,-0.2965307145274253,0.7749778063344598,0.2298047226552539,0.24253178906816,-0.2060100586346979,0.6625,8.706741810101208,0.9024520872417928,0.14,,-0.2589806060461502,-0.2782266649979437,-0.2242920308978363,-0.2618262551523441,0.0046397337972834,-0.1581171427791845,,,0.0224386086460836,1.025030060269014,0.7460689802502914,-0.3559852121939064,12.0,10.0,2.0,19.0,18.0,1.0
2026-06-11T11:59:10,rescore,FINAL_3pct_lev_1.3x,full,legacy_period,5.0,2.0,"{""lev"": 1.3, ""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0}",0.0224386086460836,0.0144452796156877,1.025030060269014,1.2690652235188384,-0.3559852121939064,0.7460689802502914,0.2655895242456914,0.2647759501843324,-0.1917521279891165,0.6554621848739496,8.851001972797867,0.9334669585236676,0.07,,-0.251548840194115,-0.287201658757071,-0.3081596988394253,-0.3559852121939064,-0.0943951061146974,-0.1986637929921233,0.0507959970361042,-0.0869610614269238,0.0224386086460836,1.025030060269014,0.7460689802502914,-0.3559852121939064,12.0,10.0,2.0,19.0,18.0,1.0
2026-06-11T11:59:10,rescore,FINAL_3pct_lev_1.3x,full,next_close,5.0,2.0,"{""lev"": 1.3, ""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0}",0.02348532277766,0.0162370811668821,1.1118037644348593,1.4181628125075518,-0.2942725895587047,0.9618765225121596,0.2830538951153749,0.2538742533460184,-0.2049844345607291,0.6470588235294118,8.856920295343482,0.9345130286406352,0.13,,-0.2567779704088269,-0.2759097843278373,-0.2628168020842549,-0.2628168020842549,0.0208693074354717,-0.1547936086513978,0.0646203918073888,-0.0851589409747927,0.0224386086460836,1.025030060269014,0.7460689802502914,-0.3559852121939064,12.0,10.0,2.0,19.0,18.0,1.0
2026-06-11T11:59:10,rescore,FINAL_3pct_lev_1.3x,full,next_open,5.0,2.0,"{""lev"": 1.3, ""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0}",0.0234605770627015,0.0182463006524533,1.1091828190872337,1.4167986798241452,-0.2965307145274253,0.95547218047821,0.2833268483882807,0.2548985863323802,-0.2060100586346979,0.6386554621848739,8.856920295343482,0.9345130286406352,0.17,,-0.2589806060461502,-0.2782266649979437,-0.2242920308978363,-0.2618262551523441,0.0046397337972834,-0.1581171427791845,0.0569338881996517,-0.0864618503078104,0.0224386086460836,1.025030060269014,0.7460689802502914,-0.3559852121939064,12.0,10.0,2.0,19.0,18.0,1.0
2026-06-11T11:59:11,rescore,FINAL_3pct_lev_1.5x,dev,next_open,5.0,2.0,"{""lev"": 1.5, ""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0}",0.0224481402537881,0.0192690354576836,0.9751613796643142,1.199255350274644,-0.3354934109342407,0.7835101833982734,0.2628625039299992,0.2798443720017232,-0.2350032464702161,0.6625,10.046240550116778,1.041290869894376,0.14,,-0.294277323737954,-0.3153586683211179,-0.2560613973088753,-0.2972894866093589,-0.0005329242001602,-0.1813608730195282,,,0.025846035148479,1.0250300602690168,0.7576874993988535,-0.4012623902093775,9.0,9.0,0.0,12.0,11.0,1.0
2026-06-11T11:59:11,rescore,FINAL_3pct_lev_1.5x,full,legacy_period,5.0,2.0,"{""lev"": 1.5, ""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0}",0.025846035148479,0.0162435273168262,1.0250300602690168,1.2690652235188424,-0.4012623902093775,0.7576874993988535,0.3040314970405502,0.3055107117511531,-0.219267169143084,0.6554621848739496,10.212694583997536,1.077077259835001,0.07,,-0.2864216526541777,-0.3253912206960276,-0.3499632926858699,-0.4012623902093775,-0.114000985756422,-0.2272218362021916,0.0570774180941191,-0.1000179164444,0.025846035148479,1.0250300602690168,0.7576874993988535,-0.4012623902093775,9.0,9.0,0.0,12.0,11.0,1.0
2026-06-11T11:59:11,rescore,FINAL_3pct_lev_1.5x,full,next_close,5.0,2.0,"{""lev"": 1.5, ""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0}",0.0270734379939778,0.0179890603695884,1.111803764434858,1.4181628125075505,-0.3330275063027387,0.9774377466717206,0.3255136553402511,0.2929318307838674,-0.2338651906646862,0.6470588235294118,10.219523417704016,1.0782842638161174,0.13,,-0.2918519786388306,-0.3128180460632134,-0.2983803041709276,-0.2983803041709276,0.0181968093428595,-0.1775671289516875,0.0731933440682173,-0.0979580246247655,0.025846035148479,1.0250300602690168,0.7576874993988535,-0.4012623902093775,9.0,9.0,0.0,12.0,11.0,1.0
2026-06-11T11:59:11,rescore,FINAL_3pct_lev_1.5x,full,next_open,5.0,2.0,"{""lev"": 1.5, ""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0}",0.0270330259835146,0.0207000123657679,1.1091828190872364,1.41679867982415,-0.3354934109342407,0.9710454137452168,0.3257793380294338,0.2941137534604388,-0.2350032464702161,0.6386554621848739,10.219523417704016,1.0782842638161174,0.18,,-0.294277323737954,-0.3153586683211179,-0.2560613973088753,-0.2972894866093589,-0.0005329242001602,-0.1813608730195282,0.0642414085229328,-0.099446678100738,0.025846035148479,1.0250300602690168,0.7576874993988535,-0.4012623902093775,9.0,9.0,0.0,12.0,11.0,1.0
2026-06-11T11:59:10,rescore,FINAL_3pct_target,dev,next_open,5.0,1.5,"{""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 1.5}",0.0150917466353945,0.013793378058435,0.9751613796643154,1.1992553502746444,-0.234870070275911,0.7608112463004687,0.1786917908852945,0.1865629146678152,-0.1611736854092391,0.6625,6.697493700077851,0.6941939132629172,0.17,,-0.2037812695715616,-0.2197659100060411,-0.1752382923226129,-0.2062832480158644,0.009464419653191,-0.1226835991940845,,,0.0173072614998088,1.0250300602690137,0.7273561903897356,-0.2835002946736311,14.0,11.0,3.0,27.0,30.0,-3.0
2026-06-11T11:59:09,rescore,FINAL_3pct_target,full,legacy_period,5.0,1.5,"{""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 1.5}",0.0173072614998088,0.0111566833085483,1.0250300602690137,1.269065223518839,-0.2835002946736311,0.7273561903897356,0.2062056943081798,0.203673807834102,-0.1494615043804369,0.6554621848739496,6.808463055998358,0.7180515065566672,0.22,,-0.1972879642497212,-0.2269889867998241,-0.2425653468780588,-0.2835002946736311,-0.0673030124947173,-0.1547952006523708,0.0405737930709464,-0.0672127173630421,0.0173072614998088,1.0250300602690137,0.7273561903897356,-0.2835002946736311,14.0,11.0,3.0,27.0,30.0,-3.0
