name,geo_monthly,mean_monthly,sharpe,max_drawdown,calmar,dsr_dev,gate_dsr,gate_calmar,gate_geo,gate_all
vixterm_thr1.05_m0.5,0.03063268873660241,0.0390558544213048,0.9945600385829324,-0.5137797765506819,0.8492080756518477,0.7659999054037318,False,True,True,False
vixterm_thr1.05_m0.3,0.02945003635790444,0.0375459412176626,0.9806150968812422,-0.5291563209601405,0.7873898709734456,0.7547681968572084,False,False,False,False
vixterm_base_2x,0.031533489627785016,0.041681483826966,0.9630570299844884,-0.6032436999238027,0.7483592574939588,0.7402230026228531,False,False,True,False
vixterm_thr1_m0.5,0.027857913843194027,0.0357346396559896,0.9373179600827668,-0.5290915207550575,0.7382149980245832,0.7181214772575271,False,False,False,False
vixterm_thr0.95_m0.5,0.025582171796249886,0.0322997411945763,0.8960329411216764,-0.5138376212405926,0.6890967423128778,0.6808826945036976,False,False,False,False
vixterm_thr1.05_m0,0.027124494933850052,0.0350333682040868,0.9310524593443908,-0.554629663542398,0.6828395186218399,0.7126071118409079,False,False,False,False
vixterm_thr1_m0.3,0.025494873063373946,0.0329112405717658,0.893910432744961,-0.5313242063622057,0.6638156890761456,0.6789131851450396,False,False,False,False
vixterm_thr0.95_m0.3,0.022073063215827693,0.0281049256788327,0.8234776198836452,-0.5277549232235816,0.5675381012121962,0.6109916150583732,False,False,False,False
vixterm_thr1_m0,0.021281096286769774,0.0284315030560844,0.792133950570496,-0.5434354210994656,0.5290214170844783,0.5794786545887292,False,False,False,False
vixterm_thr0.95_m0,0.016002432208371387,0.0217146431561698,0.6651472701582607,-0.5526966432826663,0.3797113012332854,0.4486461069103096,False,False,False,False
