leg_year,name,score_cutoff,sharpe_at_selection,calmar_at_selection,geo_at_selection,maxdd_at_selection
2019,dual_momentum_vol,2018-12-31,1.1220253673280585,0.7224439592661821,0.016963383202031,-0.3095998372626433
2019,acceleration_momentum,2018-12-31,0.849840086264521,0.5848474080856292,0.0070455222747263,-0.1502967112376656
2019,low_vol_quality,2018-12-31,0.8349930723802212,0.7057009298757932,0.0039180341434648,-0.0680783070685298
2019,donchian_breakout,2018-12-31,0.8330947019650161,0.5222208555332436,0.0070657716551718,-0.1688235397183753
2019,mean_reversion_5d,2018-12-31,0.7984590607090357,0.695839692543467,0.0119012871715795,-0.2192239210642117
2019,multifactor_mvr,2018-12-31,0.7454375728829162,0.508676621787601,0.0060020029341214,-0.1463598577252661
2019,trend_following,2018-12-31,0.7090348160122693,0.4053313807618094,0.0081941641254612,-0.2538288502243007
2019,vix_gated_trend,2018-12-31,0.7090348160122693,0.4053313807618094,0.0081941641254612,-0.2538288502243007
2019,xs_momentum_12_1,2018-12-31,0.6552696284174916,0.3532667873995645,0.0090678014604925,-0.3238569289063147
2019,adaptive_voltarget_momentum,2018-12-31,0.6517610991893728,0.3438942113079487,0.0074436705221399,-0.2706450452468996
2019,xs_momentum_top30,2018-12-31,0.60971166240582,0.3384506402400884,0.0090983641331989,-0.3392311589258021
2019,risk_parity_etf,2018-12-31,0.5912511093757904,0.4530973215958516,0.0024170065095994,-0.0648707613467441
2019,sector_momentum_rotation,2018-12-31,0.5910638842979062,0.4081356475283711,0.0052566320853015,-0.1591030971939252
2019,xs_momentum_fast,2018-12-31,0.5494566652827683,0.3820774273983426,0.0080790791651834,-0.265325855121176
2019,sector_rotation,2018-12-31,0.5400609499188547,0.3392830002715762,0.004680225770312,-0.1698617388456526
2019,xs_momentum_fast_top10,2018-12-31,0.4524208576069357,0.2730437314219041,0.0072298460173678,-0.3306888767431973
2019,momentum_quality_blend,2018-12-31,0.4358203907157392,0.2067378444498114,0.0041340742612785,-0.2454923444007621
2019,xs_momentum_multi,2018-12-31,0.4225428079747317,0.1979658648593294,0.0048600203353506,-0.3026010742975813
2019,ts_momentum_multiasset,2018-12-31,0.3564965527600792,0.2322783229847524,0.0014231026888031,-0.0740987481923741
2019,calendar_tom,2018-12-31,0.2830613583140429,0.1678272858085861,0.001977172726741,-0.1429194818144047
2019,xs_momentum_concentrated,2018-12-31,0.1797107575469261,0.0513204204106871,0.0013305135473546,-0.3133941567472106
2020,low_vol_quality,2019-12-31,1.4058153952777617,1.2285515926051496,0.0067160885889483,-0.0680783070685298
2020,dual_momentum_vol,2019-12-31,1.29791242861747,0.8326480406376521,0.0192966852508624,-0.3095998372626433
2020,risk_parity_etf,2019-12-31,1.2871156508203043,1.017111443447594,0.0053388099596767,-0.0648707613467441
2020,acceleration_momentum,2019-12-31,1.1725050858802315,0.9426686057882812,0.0111029228206407,-0.1502967112376656
2020,multifactor_mvr,2019-12-31,1.0663369694027327,0.7694289722239143,0.0089323041950062,-0.1463598577252661
2020,donchian_breakout,2019-12-31,1.0639492010576448,0.6671399633540551,0.0089334690792244,-0.1688235397183753
2020,xs_momentum_12_1,2019-12-31,1.0232613015001382,0.6068536908614851,0.0150647509636716,-0.3238569289063147
2020,adaptive_voltarget_momentum,2019-12-31,1.0103735179273396,0.5774535031994841,0.0121745317752621,-0.2706450452468996
2020,xs_momentum_top30,2019-12-31,0.978419111557346,0.6131467461772523,0.0158717086730049,-0.3392311589258021
2020,mean_reversion_5d,2019-12-31,0.936105374059332,0.852189189756241,0.0143754873492132,-0.2192239210642117
2020,sector_rotation,2019-12-31,0.920233858201902,0.6164163744427098,0.0083327620813526,-0.1698617388456526
2020,sector_momentum_rotation,2019-12-31,0.8569092372119357,0.6232729655208177,0.0079103301924283,-0.1591030971939252
2020,trend_following,2019-12-31,0.8347761520352747,0.483671341738036,0.0096965948616913,-0.2538288502243007
2020,vix_gated_trend,2019-12-31,0.8347761520352747,0.483671341738036,0.0096965948616913,-0.2538288502243007
2020,xs_momentum_fast,2019-12-31,0.8179785665284154,0.5854846216345256,0.0127057892251043,-0.2794074166669275
2020,momentum_quality_blend,2019-12-31,0.8178286936812984,0.4191823315756782,0.0081957832843528,-0.2454923444007621
2020,xs_momentum_multi,2019-12-31,0.8012226881958281,0.4384029610758398,0.0104348939017024,-0.3026010742975813
2020,ts_momentum_multiasset,2019-12-31,0.7776525547165827,0.4991133520581451,0.0030309328672153,-0.0740987481923741
2020,xs_momentum_fast_top10,2019-12-31,0.6039480547202635,0.3472481513653027,0.010480959801695,-0.3838206783705585
2020,xs_momentum_concentrated,2019-12-31,0.4931138380066416,0.2228966216492755,0.0056427487346073,-0.3133941567472106
2020,calendar_tom,2019-12-31,0.1805535391086117,0.091700854873848,0.0010856472407838,-0.1429194818144047
2021,dual_momentum_vol,2020-12-31,1.342228646807965,0.9392598686859776,0.0259536768386638,-0.3832608999073688
2021,adaptive_voltarget_momentum,2020-12-31,1.1500547838054505,0.8335186216497955,0.0170962014842899,-0.2706450452468996
2021,donchian_breakout,2020-12-31,1.1298924155623549,0.8390559008987292,0.0124209150673801,-0.1902936458002659
2021,xs_momentum_top30,2020-12-31,1.1158960692662654,0.7708343474967179,0.0239570458305176,-0.4262382168093908
2021,xs_momentum_12_1,2020-12-31,1.0658621589595851,0.6660494480576681,0.0213069160519798,-0.4322196066533856
2021,xs_momentum_multi,2020-12-31,1.0051890817017255,0.6866181663711165,0.0179537528866444,-0.3466925581108949
