leg_year,name,score_cutoff,sharpe_at_selection,calmar_at_selection,geo_at_selection,maxdd_at_selection,rank_at_selection,selected
2022,acceleration_momentum,2021-12-31,1.0929801631834932,0.5276418841096946,0.0172371040426024,-0.4314037115393458,3.0,True
2022,xs_momentum_top30,2021-12-31,1.0718208711003123,0.7828417254676924,0.0242851823729202,-0.4262382168093908,4.0,False
2022,xs_momentum_12_1,2021-12-31,1.0647507239514988,0.7068579820392519,0.0224652779336971,-0.4322196066533856,5.0,False
2022,adaptive_voltarget_momentum,2021-12-31,1.0229698127162352,0.8661267241320071,0.0177045225894143,-0.2706450452468996,6.0,False
2022,xs_momentum_fast,2021-12-31,1.0159621659682478,0.7552742540631265,0.0213992073061446,-0.3830090686400004,7.0,False
2022,low_vol_quality,2021-12-31,0.950514700246542,0.3800584181978432,0.0071151790674686,-0.2336587622757374,8.0,False
2022,risk_parity_etf,2021-12-31,0.941446107163374,0.3873324884221049,0.0057430193287322,-0.1836543004663994,9.0,False
2022,calendar_tom,2021-12-31,0.9103795018224952,0.8468029998741939,0.0095657226313308,-0.1429194818144047,10.0,False
2022,xs_momentum_multi,2021-12-31,0.9037759448599586,0.6503360563511894,0.0170878321311458,-0.3466925581108949,11.0,False
2022,trend_following,2021-12-31,0.8618087307414624,0.4814603911943839,0.0141305223998366,-0.3808942809923318,12.0,False
2022,mean_reversion_5d,2021-12-31,0.859201510461922,0.3987412209996232,0.0193981237807558,-0.6502728568123506,13.0,False
2022,vix_gated_trend,2021-12-31,0.8135263765153458,0.5736096405537835,0.0113916766446442,-0.2538288502243007,14.0,False
2022,sector_rotation,2021-12-31,0.77845732099475,0.3990708726814758,0.0105461689728949,-0.3361782264849149,15.0,False
2022,sector_momentum_rotation,2021-12-31,0.776190522917095,0.4357707375829118,0.0107376543323687,-0.3137900649662255,16.0,False
2022,multifactor_mvr,2021-12-31,0.7193076238789318,0.3059553920562765,0.0101515830650638,-0.4211597723637523,17.0,False
2022,xs_momentum_concentrated,2021-12-31,0.7115698636939258,0.4185664230504944,0.0125322935844449,-0.3851213393009749,18.0,False
2022,momentum_quality_blend,2021-12-31,0.6874733079992197,0.3331680665461959,0.0104385805853697,-0.3983298911167904,19.0,False
2022,xs_momentum_fast_top10,2021-12-31,0.6755457746129865,0.4353381082151569,0.0151054882584291,-0.4527748381311837,20.0,False
2022,ts_momentum_multiasset,2021-12-31,0.6323103701177666,0.3194933533665584,0.0031601270227656,-0.1207775338475312,21.0,False
2023,dual_momentum_vol,2022-12-31,1.065740439020537,0.7717092176600866,0.0218266239716147,-0.3832608999073688,1.0,True
2023,calendar_tom,2022-12-31,1.022744898801804,0.96998609771023,0.0108775438265809,-0.1429194818144047,2.0,True
2023,xs_momentum_top30,2022-12-31,0.9840769199305032,0.7200920558711245,0.0225574443872087,-0.4262382168093908,3.0,True
2023,xs_momentum_12_1,2022-12-31,0.9339221666247188,0.612202012100041,0.0197559820045429,-0.4322196066533856,4.0,False
2023,acceleration_momentum,2022-12-31,0.9292772629261776,0.439730551491224,0.0145804683541506,-0.4314037115393458,5.0,False
2023,adaptive_voltarget_momentum,2022-12-31,0.9249528284446208,0.787227762763023,0.0162256888709995,-0.2706450452468996,6.0,False
2023,donchian_breakout,2022-12-31,0.8128150473014845,0.4871168202338014,0.0094012288681195,-0.2439553553676093,7.0,False
2023,xs_momentum_multi,2022-12-31,0.7641848441467128,0.5356958901847421,0.0142972150891795,-0.3466925581108949,8.0,False
2023,low_vol_quality,2022-12-31,0.7513693661917211,0.2960975872037517,0.0055903530509857,-0.2336587622757374,9.0,False
2023,sector_momentum_rotation,2022-12-31,0.7454203689266587,0.4295967688692595,0.0105939933120635,-0.3137900649662255,10.0,False
2023,xs_momentum_fast,2022-12-31,0.7099833321635108,0.4498645017458511,0.0140454084354477,-0.4049980125657229,11.0,False
2023,xs_momentum_concentrated,2022-12-31,0.6671014197053188,0.3972620802552613,0.0119341612212242,-0.3851213393009749,12.0,False
2023,trend_following,2022-12-31,0.6666076611136721,0.3587644589754674,0.0107310449067992,-0.3808942809923318,13.0,False
2023,mean_reversion_5d,2022-12-31,0.6504570026886468,0.2833109496822947,0.0141907701930443,-0.6502728568123506,14.0,False
2023,sector_rotation,2022-12-31,0.5969306193422524,0.2933624071968633,0.0078688576822865,-0.3361782264849149,15.0,False
2023,multifactor_mvr,2022-12-31,0.5672546697127384,0.2272754381429647,0.0076466723475558,-0.4211597723637523,16.0,False
2023,momentum_quality_blend,2022-12-31,0.548540980970316,0.248096231978792,0.0078843061523621,-0.3983298911167904,17.0,False
2023,xs_momentum_fast_top10,2022-12-31,0.4979270073433317,0.2636912695791025,0.0096372989816635,-0.462581719593798,18.0,False
2023,risk_parity_etf,2022-12-31,0.4468959888515731,0.177579520096531,0.0029409337314236,-0.2019809378396623,19.0,False
2023,vix_gated_trend,2022-12-31,0.4188901717165693,0.1674542052556214,0.0052572024964268,-0.3878248194292054,20.0,False
2023,ts_momentum_multiasset,2022-12-31,0.3734989049174544,0.2025064633356503,0.0020156886043387,-0.1207775338475312,21.0,False
2024,dual_momentum_vol,2023-12-31,1.1001869526313195,0.7918966815356783,0.022333684761604,-0.3832608999073688,1.0,True
2024,xs_momentum_top30,2023-12-31,1.0282821071483446,0.7464523596510116,0.0232871562818628,-0.4262382168093908,2.0,True
2024,xs_momentum_12_1,2023-12-31,0.9741191533935812,0.6301997829851498,0.0202772507715978,-0.4322196066533856,3.0,True
2024,adaptive_voltarget_momentum,2023-12-31,0.9697315747546468,0.8305853360526512,0.0170412828410906,-0.2706450452468996,4.0,False
2024,acceleration_momentum,2023-12-31,0.9696687829012302,0.4556003236713516,0.0150657334743971,-0.4314037115393458,5.0,False
2024,calendar_tom,2023-12-31,0.9618465016220455,0.9059554930335268,0.0101979978720223,-0.1429194818144047,6.0,False
2024,xs_momentum_fast,2023-12-31,0.8547499359404953,0.577579110811835,0.0176705413857705,-0.4049980125657229,7.0,False
2024,donchian_breakout,2023-12-31,0.8317200631306776,0.4932350096608806,0.0095133750551692,-0.2439553553676093,8.0,False
2024,xs_momentum_multi,2023-12-31,0.8057419348574032,0.5630610725139298,0.0149710547705836,-0.3466925581108949,9.0,False
2024,sector_momentum_rotation,2023-12-31,0.7740006974755739,0.4412969443778614,0.0108660524681392,-0.3137900649662255,10.0,False
2024,xs_momentum_fast_top10,2023-12-31,0.7355718418205986,0.486359660795037,0.0170542415228895,-0.462581719593798,11.0,False
2024,low_vol_quality,2023-12-31,0.7327555652973675,0.2790756843054232,0.0052780915481847,-0.2336587622757374,12.0,False
2024,mean_reversion_5d,2023-12-31,0.7130918013619522,0.316172387792322,0.0157033532384387,-0.6502728568123506,13.0,False
2024,xs_momentum_concentrated,2023-12-31,0.6744213089459737,0.3931609209529347,0.0118185710323297,-0.3851213393009749,14.0,False
2024,sector_rotation,2023-12-31,0.615224927409528,0.297106522628331,0.0079650333770497,-0.3361782264849149,15.0,False
2024,trend_following,2023-12-31,0.6102881690167645,0.3132851947230851,0.0094383451153372,-0.3808942809923318,16.0,False
2024,momentum_quality_blend,2023-12-31,0.5998849917975366,0.2710941651254188,0.0085818622168127,-0.3983298911167904,17.0,False
2024,risk_parity_etf,2023-12-31,0.5921054533116075,0.2435828567988368,0.0040102785130928,-0.2019809378396623,18.0,False
2024,multifactor_mvr,2023-12-31,0.5863578680079832,0.2298964978476249,0.0077312296408313,-0.4211597723637523,19.0,False
2024,ts_momentum_multiasset,2023-12-31,0.3869654756184501,0.2099036929931413,0.0020884801179272,-0.1207775338475312,20.0,False
2024,vix_gated_trend,2023-12-31,0.385106917537328,0.1279923230091756,0.0046734929403775,-0.4496062734071431,21.0,False
2025,dual_momentum_vol,2024-12-31,1.1221655120584513,0.8134772485183753,0.0228726949723481,-0.3832608999073688,1.0,True
2025,xs_momentum_top30,2024-12-31,1.0668375951331557,0.7860079319842508,0.0243715158532502,-0.4262382168093908,2.0,True
2025,xs_momentum_12_1,2024-12-31,1.021643773209149,0.6694943812393142,0.0214052616660889,-0.4322196066533856,3.0,True
2025,adaptive_voltarget_momentum,2024-12-31,0.9916576570566672,0.8563676882868364,0.0175228818433816,-0.2706450452468996,4.0,False
2025,acceleration_momentum,2024-12-31,0.9292629890770144,0.4265155301120181,0.0141744228035938,-0.4314037115393458,5.0,False
2025,xs_momentum_fast,2024-12-31,0.9095344546578692,0.6451354053595424,0.0195321319068453,-0.4049980125657229,6.0,False
2025,donchian_breakout,2024-12-31,0.8312466159577763,0.4846729408710078,0.0093563943148837,-0.2439553553676093,7.0,False
2025,xs_momentum_fast_top10,2024-12-31,0.8206111656199784,0.5898157863374235,0.0203075360642408,-0.462581719593798,8.0,False
2025,low_vol_quality,2024-12-31,0.7988132251636338,0.2991461990831071,0.0056461664280913,-0.2336587622757374,9.0,False
2025,xs_momentum_multi,2024-12-31,0.7851515765395913,0.5466536552395554,0.0145676300909867,-0.3466925581108949,10.0,False
2025,sector_momentum_rotation,2024-12-31,0.782862140614087,0.4333562324503445,0.010681498368861,-0.3137900649662255,11.0,False
2025,calendar_tom,2024-12-31,0.7480191052813235,0.3413058355732092,0.0079863936931312,-0.2934625307237053,12.0,False
2025,momentum_quality_blend,2024-12-31,0.7297162963105878,0.3425820888784517,0.0107169167752347,-0.3983298911167904,13.0,False
2025,xs_momentum_concentrated,2024-12-31,0.7096913605691034,0.4161493086172081,0.0124646268131978,-0.3851213393009749,14.0,False
2025,mean_reversion_5d,2024-12-31,0.7054541669818278,0.3037327356947649,0.0151336795992,-0.6502728568123506,15.0,False
2025,risk_parity_etf,2024-12-31,0.6888403910261081,0.282910205625755,0.0046415289848726,-0.2019809378396623,16.0,False
2025,multifactor_mvr,2024-12-31,0.683986850957395,0.2697354958775581,0.0090069517545425,-0.4211597723637523,17.0,False
2025,sector_rotation,2024-12-31,0.6374880116259407,0.3021478837206577,0.0080943723730879,-0.3361782264849149,18.0,False
2025,trend_following,2024-12-31,0.5712352349956229,0.2881541908342103,0.0087161351015403,-0.3808942809923318,19.0,False
2025,ts_momentum_multiasset,2024-12-31,0.5325376596207606,0.2921815669113291,0.0028942289614803,-0.1207775338475312,20.0,False
2025,vix_gated_trend,2024-12-31,0.3702075452942018,0.1231731005760982,0.004501796270208,-0.4496062734071431,21.0,False
2026,dual_momentum_vol,2025-12-31,1.1266049364236408,0.840261750250887,0.0235373658763211,-0.3832608999073688,1.0,True
2026,xs_momentum_top30,2025-12-31,1.087108434663027,0.8380602670972688,0.0257794852290778,-0.4262382168093908,2.0,True
2026,xs_momentum_12_1,2025-12-31,1.0238798466716308,0.6917415054302548,0.0220378747350717,-0.4322196066533856,3.0,True
2026,adaptive_voltarget_momentum,2025-12-31,0.9994589012349716,0.8450289379131742,0.0182469431100862,-0.2867726212339708,4.0,False
